rank,country,name
223,USA,Scott Brown
224,KOR,Hosung Choi
225,JPN,Kazuki Higa
226,RSA,Jaco Ahlers
227,ENG,Jack Singh Brar
228,USA,Wyndham Clark
229,CHN,Wu Ashun
230,USA,Jason Dufner
231,KOR,Junggon Hwang
232,AUT,Matthias Schwab
233,BEL,Nicolas Colsaerts
234,JPN,Atomu Shigenaga
235,THA,Panuphol Pittayarat
236,USA,Scott Langley
237,SCO,Grant Forrest
238,SCO,Connor Syme
239,JPN,Ryo Ishikawa
240,KOR,Kyounghoon Lee
241,RSA,Jean-Paul Strydom
242,JPN,Mikumu Horikawa
243,DEN,Soren Kjeldsen
244,USA,Sean O'Hair
245,CAN,Nick Taylor
246,FIN,Kalle Samooja
247,IRL,Padraig Harrington
248,PHI,Miguel Tabuena
249,SCO,Liam Johnston
250,USA,Lanto Griffin
251,THA,Prom Meesawat
252,USA,Hudson Swafford
253,MAS,Gavin Green
254,PHI,Angelo Que
255,KOR,Sanghee Lee
256,USA,James Hahn
257,USA,Peter Malnati
258,CAN,Mackenzie Hughes
259,ENG,Matthew Southgate
260,FRA,Clement Sordet
261,USA,Robert Streb
262,ENG,Andrew Johnston
263,FIN,Kim Koivu
264,AUS,Matthew Millar
265,SCO,Robert MacIntyre
266,SWE,Joakim Lagergren
267,USA,Adam Schenk
268,ENG,Richard McEvoy
269,RSA,Neil Schietekat
270,CAN,Roger Sloan
271,ENG,Robert Rock
272,IND,Chikkarangappa S
273,RSA,Zander Lombard
274,SCO,Martin Laird
275,IND,Ajeetesh Sandhu
276,JPN,Hideto Tanihara
277,USA,Anders Albertson
278,JPN,Hiroshi Iwata
279,AUS,Maverick Antcliff
280,RSA,Thomas Aiken
281,JPN,Yuta Kinoshita
282,USA,Sam Saunders
283,BRA,Adilson da Silva
284,FIN,Tapio Pulkkanen
285,THA,Danthai Boonma
286,THA,Sadom Kaewkanjana
287,MEX,Carlos Ortiz
288,NZL,Nick Voke
289,SWE,Sebastian Soderberg
290,COL,Juan Sebastian Munoz
291,IRL,Seamus Power
292,AUS,Min Woo Lee
293,USA,Ryan Blaum
294,USA,Roberto Castro
295,USA,Bill Haas
296,AUS,Matthew Griffin
297,USA,Scottie Scheffler
298,SWE,Anton Karlsson
299,GRE,Peter Karmis
300,USA,Brandon Harkins
